county_id,year,gas_station_count,gasoline_sales,diesel_sales
27,2015,155,184.0,29.0
28,2015,42,63.0,8.0
29,2015,47,40.0,8.0
30,2015,678,1370.0,59.0
31,2015,145,209.0,16.0
32,2015,27,7.0,1.0
33,2015,583,1039.0,152.0
34,2015,379,584.0,36.0
36,2015,598,909.0,253.0
37,2015,822,1408.0,111.0
38,2015,91,134.0,6.0
39,2015,255,360.0,131.0
40,2015,123,147.0,24.0
41,2015,185,304.0,19.0
42,2015,134,186.0,26.0
43,2015,394,727.0,47.0
44,2015,91,96.0,6.0
45,2015,140,95.0,27.0
47,2015,51,27.0,26.0
48,2015,136,201.0,18.0
49,2015,143,201.0,20.0
50,2015,191,252.0,33.0
51,2015,41,38.0,5.0
52,2015,44,30.0,48.0
54,2015,200,143.0,43.0
55,2015,37,23.0,3.0
56,2015,200,321.0,34.0
57,2015,71,103.0,35.0
58,2015,38,30.0,3.0
1,2016,366,582.0,54.0
3,2016,24,14.0,2.0
4,2016,103,83.0,13.0
5,2016,28,15.0,3.0
6,2016,22,11.0,4.0
7,2016,283,431.0,26.0
8,2016,13,7.0,2.0
9,2016,78,81.0,9.0
10,2016,343,358.0,46.0
11,2016,24,17.0,14.0
12,2016,81,61.0,14.0
13,2016,78,86.0,16.0
14,2016,25,18.0,4.0
15,2016,363,407.0,149.0
16,2016,60,57.0,6.0
17,2016,40,21.0,1.0
18,2016,22,8.0,4.0
19,2016,2091,3577.0,309.0
20,2016,74,59.0,31.0
21,2016,65,102.0,4.0
22,2016,22,8.0,2.0
23,2016,65,42.0,10.0
24,2016,110,114.0,66.0
26,2016,22,8.0,1.0
27,2016,144,177.0,28.0
28,2016,36,57.0,7.0
29,2016,43,40.0,9.0
30,2016,685,1375.0,59.0
31,2016,137,204.0,17.0
32,2016,24,5.0,1.0
33,2016,565,1035.0,145.0
34,2016,384,600.0,42.0
36,2016,619,1010.0,252.0
37,2016,806,1372.0,105.0
38,2016,93,134.0,6.0
39,2016,236,340.0,131.0
40,2016,108,142.0,23.0
41,2016,204,325.0,14.0
42,2016,126,181.0,25.0
43,2016,410,717.0,34.0
44,2016,82,95.0,6.0
45,2016,134,82.0,24.0
47,2016,47,27.0,22.0
48,2016,144,210.0,19.0
49,2016,156,209.0,23.0
50,2016,190,244.0,22.0
51,2016,43,39.0,6.0
52,2016,41,29.0,39.0
54,2016,211,152.0,42.0
55,2016,38,23.0,3.0
56,2016,200,330.0,32.0
57,2016,80,110.0,37.0
58,2016,43,36.0,5.0
1,2017,378,583.0,58.0
3,2017,25,15.0,2.0
4,2017,99,87.0,13.0
5,2017,28,15.0,3.0
6,2017,20,12.0,3.0
7,2017,281,430.0,28.0
8,2017,13,7.0,2.0
9,2017,78,82.0,10.0
10,2017,341,367.0,45.0
11,2017,23,18.0,19.0
12,2017,74,55.0,9.0
13,2017,78,83.0,12.0
14,2017,21,18.0,4.0
15,2017,356,390.0,121.0
16,2017,58,60.0,7.0
17,2017,38,21.0,3.0
18,2017,20,6.0,1.0
19,2017,2076,3659.0,301.0
20,2017,70,62.0,33.0
21,2017,61,101.0,4.0
22,2017,19,6.0,1.0
23,2017,51,38.0,6.0
24,2017,106,117.0,42.0
26,2017,18,5.0,1.0
27,2017,140,174.0,27.0
28,2017,37,53.0,7.0
29,2017,44,39.0,9.0
30,2017,674,1382.0,61.0
31,2017,131,203.0,17.0
32,2017,21,6.0,2.0
33,2017,572,1052.0,148.0
34,2017,384,599.0,48.0
36,2017,613,993.0,265.0
37,2017,779,1377.0,103.0
38,2017,93,134.0,6.0
39,2017,238,347.0,126.0
40,2017,107,142.0,21.0
41,2017,196,326.0,17.0
42,2017,125,170.0,19.0
43,2017,399,685.0,36.0
44,2017,81,94.0,6.0
45,2017,140,92.0,25.0
47,2017,45,29.0,21.0
48,2017,152,217.0,24.0
49,2017,149,208.0,23.0
50,2017,187,253.0,34.0
51,2017,41,39.0,4.0
52,2017,42,29.0,38.0
54,2017,219,167.0,41.0
55,2017,35,25.0,3.0
56,2017,207,338.0,36.0
57,2017,82,113.0,30.0
58,2017,40,34.0,9.0
1,2018,361,569.0,62.0
3,2018,29,17.0,3.0
4,2018,95,86.0,13.0
5,2018,27,15.0,3.0
6,2018,19,13.0,4.0
7,2018,255,397.0,34.0
8,2018,13,7.0,2.0
9,2018,76,76.0,9.0
10,2018,338,368.0,51.0
11,2018,20,17.0,17.0
12,2018,83,58.0,8.0
13,2018,82,89.0,22.0
14,2018,24,18.0,3.0
15,2018,364,396.0,108.0
16,2018,63,60.0,9.0
17,2018,39,23.0,4.0
18,2018,12,5.0,1.0
19,2018,2078,3638.0,253.0
20,2018,64,57.0,31.0
21,2018,53,82.0,3.0
22,2018,21,7.0,1.0
23,2018,59,40.0,6.0
24,2018,112,132.0,39.0
26,2018,22,7.0,1.0
27,2018,142,181.0,26.0
28,2018,39,61.0,7.0
29,2018,40,38.0,8.0
30,2018,669,1402.0,55.0
31,2018,132,206.0,17.0
32,2018,27,6.0,1.0
33,2018,582,1052.0,132.0
34,2018,381,586.0,45.0
36,2018,616,990.0,195.0
37,2018,784,1387.0,103.0
38,2018,80,120.0,5.0
39,2018,240,336.0,117.0
40,2018,111,150.0,22.0
41,2018,188,304.0,17.0
42,2018,131,191.0,24.0
43,2018,374,643.0,48.0
44,2018,78,90.0,7.0
45,2018,136,87.0,24.0
47,2018,47,28.0,17.0
48,2018,143,216.0,25.0
49,2018,139,192.0,22.0
50,2018,193,244.0,36.0
51,2018,38,40.0,5.0
52,2018,41,31.0,20.0
54,2018,207,168.0,34.0
55,2018,31,25.0,3.0
56,2018,200,342.0,33.0
57,2018,77,110.0,28.0
58,2018,44,46.0,12.0
1,2019,389,591.0,55.0
3,2019,29,18.0,3.0
4,2019,98,78.0,15.0
5,2019,27,15.0,3.0
6,2019,21,13.0,7.0
7,2019,290,427.0,27.0
8,2019,14,6.0,2.0
9,2019,81,74.0,10.0
10,2019,364,376.0,49.0
11,2019,22,18.0,19.0
12,2019,84,53.0,7.0
13,2019,84,86.0,25.0
14,2019,25,17.0,4.0
15,2019,371,392.0,105.0
16,2019,62,76.0,9.0
17,2019,41,24.0,4.0
18,2019,23,7.0,2.0
19,2019,2063,3559.0,276.0
20,2019,75,62.0,24.0
21,2019,60,96.0,4.0
22,2019,22,8.0,1.0
23,2019,62,44.0,8.0
24,2019,114,119.0,36.0
26,2019,24,8.0,1.0
27,2019,142,174.0,26.0
28,2019,37,57.0,7.0
29,2019,42,39.0,8.0
30,2019,647,1325.0,56.0
31,2019,127,198.0,17.0
32,2019,30,6.0,1.0
33,2019,569,1046.0,122.0
34,2019,385,600.0,41.0
36,2019,613,977.0,178.0
37,2019,758,1325.0,110.0
38,2019,92,118.0,5.0
39,2019,255,352.0,113.0
40,2019,104,138.0,22.0
41,2019,198,322.0,19.0
42,2019,125,177.0,19.0
43,2019,404,713.0,42.0
44,2019,78,90.0,6.0
45,2019,131,82.0,16.0
47,2019,48,27.0,17.0
48,2019,150,216.0,27.0
49,2019,155,204.0,32.0
50,2019,194,245.0,35.0
51,2019,41,38.0,6.0
52,2019,40,30.0,18.0
54,2019,229,174.0,45.0
55,2019,34,23.0,3.0
56,2019,199,329.0,35.0
57,2019,83,114.0,26.0
58,2019,41,32.0,5.0
1,2020,378,442.0,51.0
3,2020,25,13.0,2.0
4,2020,96,68.0,11.0
5,2020,26,15.0,3.0
6,2020,20,15.0,11.0
7,2020,287,336.0,23.0
8,2020,14,5.0,2.0
9,2020,78,62.0,8.0
10,2020,365,347.0,66.0
11,2020,22,15.0,18.0
12,2020,85,56.0,6.0
13,2020,79,64.0,24.0
14,2020,25,16.0,4.0
15,2020,371,364.0,116.0
16,2020,62,52.0,7.0
17,2020,39,20.0,4.0
18,2020,20,6.0,1.0
19,2020,2034,2770.0,299.0
20,2020,78,63.0,32.0
21,2020,64,77.0,4.0
22,2020,21,5.0,1.0
23,2020,59,37.0,9.0
24,2020,115,106.0,30.0
26,2020,21,7.0,1.0
27,2020,137,141.0,22.0
28,2020,36,44.0,6.0
29,2020,41,36.0,8.0
30,2020,642,1029.0,53.0
31,2020,127,163.0,35.0
32,2020,30,6.0,1.0
33,2020,562,876.0,144.0
34,2020,380,689.0,44.0
36,2020,609,823.0,159.0
37,2020,746,1055.0,94.0
38,2020,92,91.0,4.0
39,2020,244,292.0,93.0
40,2020,105,115.0,20.0
41,2020,197,238.0,13.0
42,2020,120,146.0,17.0
43,2020,397,511.0,35.0
44,2020,81,74.0,8.0
45,2020,126,76.0,14.0
47,2020,44,25.0,18.0
48,2020,149,180.0,27.0
49,2020,147,167.0,30.0
50,2020,192,197.0,39.0
51,2020,38,30.0,5.0
52,2020,41,26.0,8.0
54,2020,227,149.0,51.0
55,2020,33,20.0,3.0
56,2020,194,262.0,32.0
57,2020,80,91.0,22.0
58,2020,43,35.0,4.0
1,2021,380,492.0,53.0
3,2021,27,14.0,3.0
4,2021,94,74.0,13.0
5,2021,27,13.0,3.0
6,2021,19,16.0,11.0
7,2021,289,374.0,28.0
8,2021,13,5.0,1.0
9,2021,80,65.0,11.0
10,2021,370,387.0,91.0
11,2021,22,17.0,17.0
12,2021,84,52.0,10.0
13,2021,78,74.0,27.0
14,2021,26,15.0,3.0
15,2021,379,406.0,137.0
16,2021,63,58.0,10.0
17,2021,37,20.0,4.0
18,2021,19,7.0,2.0
19,2021,2057,3061.0,224.0
20,2021,78,71.0,37.0
21,2021,65,88.0,5.0
22,2021,20,7.0,2.0
23,2021,61,39.0,10.0
24,2021,114,122.0,33.0
26,2021,20,6.0,1.0
27,2021,140,162.0,27.0
28,2021,36,47.0,6.0
29,2021,38,35.0,8.0
30,2021,645,1159.0,46.0
31,2021,128,178.0,20.0
32,2021,31,7.0,2.0
33,2021,572,981.0,146.0
34,2021,388,557.0,45.0
36,2021,621,926.0,198.0
37,2021,753,1165.0,117.0
38,2021,90,99.0,5.0
39,2021,250,321.0,97.0
40,2021,106,125.0,22.0
41,2021,199,269.0,16.0
42,2021,121,168.0,17.0
43,2021,406,599.0,50.0
