zip,county_id
90001,19
90002,19
90003,19
90004,19
90005,19
90006,19
90007,19
90008,19
90009,19
90010,19
90011,19
90012,19
90013,19
90014,19
90015,19
90016,19
90017,19
90018,19
90019,19
90020,19
90021,19
90022,19
90023,19
90024,19
90025,19
90026,19
90027,19
90028,19
90029,19
90030,19
90031,19
90032,19
90033,19
90034,19
90035,19
90036,19
90037,19
90038,19
90039,19
90040,19
90041,19
90042,19
90043,19
90044,19
90045,19
90046,19
90047,19
90048,19
90049,19
90050,19
90051,19
90052,19
90053,19
90054,19
90055,19
90056,19
90057,19
90058,19
90059,19
90060,19
90061,19
90062,19
90063,19
90064,19
90065,19
90066,19
90067,19
90068,19
90069,19
90070,19
90071,19
90072,19
90073,19
90074,19
90075,19
90076,19
90077,19
90078,19
90079,19
90080,19
90081,19
90082,19
90083,19
90084,19
90086,19
90087,19
90088,19
90089,19
90090,19
90091,19
90093,19
90094,19
90095,19
90096,19
90099,19
90101,19
90102,19
90103,19
90134,19
90189,19
90201,19
90202,19
90209,19
90210,19
90211,19
90212,19
90213,19
90220,19
90221,19
90222,19
90223,19
90224,19
90230,19
90231,19
90232,19
90233,19
90239,19
90240,19
90241,19
90242,19
90245,19
90247,19
90248,19
90249,19
90250,19
90251,19
90254,19
90255,19
90260,19
90261,19
90262,19
90263,19
90264,19
90265,19
90266,19
90267,19
90270,19
90272,19
90274,19
90275,19
90277,19
90278,19
90280,19
90290,19
90291,19
90292,19
90293,19
90294,19
90295,19
90296,19
90301,19
90302,19
90303,19
90304,19
90305,19
90306,19
90307,19
90308,19
90309,19
90310,19
90311,19
90312,19
90313,19
90397,19
90398,19
90401,19
90402,19
90403,19
90404,19
90405,19
90406,19
90407,19
90408,19
90409,19
90410,19
90411,19
90501,19
90502,19
90503,19
90504,19
90505,19
90506,19
90507,19
90508,19
90509,19
90510,19
90601,19
90602,19
90603,19
90604,19
90605,19
90606,19
90607,19
90608,19
90609,19
90610,19
90612,19
90620,30
90621,30
90622,30
90623,30
90624,30
90630,30
